url,Average Relevance,Type of Blog,Memo
https://www.kdnuggets.com/2016/03/top-big-data-processing-frameworks.html,3,Community blog,Multiple authors and topics.
https://www.linkedin.com/pulse/building-your-first-chatbot-python-valentina-alto,2,Community blog,"Article piublished to an account on LinkedIn, but it does not relate to LinkedIn."
https://www.linkedin.com/pulse/comprehensive-analysis-apache-kafka-rassul-fazelat,3,Community blog,Same as above
https://www.linkedin.com/pulse/flume-kafka-real-time-event-processing-lan-jiang,4,Community blog,Same as above
https://www.linkedin.com/pulse/kafka-vs-rabbitmq-how-choose-open-source-message-maria-hatfield-phd,3,Community blog,Same as above
https://www.linkedin.com/pulse/loose-coupling-microservice-architecture-patrick-van-vuuren,4.333333333,Community blog,Same as above
https://www.linkedin.com/pulse/microservice-communication-arpit-jain,3.5,Community blog,Same as above
https://www.linkedin.com/pulse/wondering-how-apache-kafka-different-compared-other-manish,4,Community blog,Same as above
https://www.programmersought.com/article/11231022901/,4,Community blog,Same as above
https://www.programmersought.com/article/2060222759/,4,Community blog,Same as above
https://www.programmersought.com/article/62704054981/,2,Community blog,Same as above
https://www.programmersought.com/article/8810191627/,3,Community blog,Same as above
https://www.programmersought.com/article/8810377980/,3,Community blog,Same as above
https://www.techiexpert.com/15-best-data-analytics-tools-for-big-data/,3,Community blog,"Most articles have same author but I found one by ""Sony T"". ""About us"" states ""We?ve writers all across [the world?]""."
https://www.techrepublic.com/article/three-useful-tools-for-big-data-log-analysis/,3.333333333,Community blog,"Mutliple authors. ""About us"" states ""From breaking IT news to best practices, advice, and how-tos..."""
https://www.trulia.com/blog/tech/designing-and-building-a-real-time-etl-system-with-apache-flume/,4,Community blog,"Commuity blog on a Real estate website. Multiple authors. Most articles are not IT realted. Bottom of page states ""Search homes and neighborhoods, anytime and anywhere"""
https://www.webdesignerdepot.com/2020/09/real-time-stock-data-using-marketplaces-api/,5,Community blog,Multilple authors. Multiple topics. No about page.
https://www.developer.com/java/json-processing-in-java-ee7.html,2,Community blog,"Bottom of page states ""Developer.com features tutorials, news, and how-tos focused on topics relevant to software engineers"". multiple authors. "
https://www.developer.com/lang/jscript/top-7-open-source-json-binding-providers-available-today.html,4.5,Community blog,"Bottom of page states ""Developer.com features tutorials, news, and how-tos focused on topics relevant to software engineers"". multiple authors. "
https://blogs.worldbank.org/dev4peace/exploiting-full-potential-new-technologies-data-collection-monitoring-and-conflict-prevention,1.5,Community blog,Multiple authors and topics. Not all realted to IT. 
https://www.softwaretestinghelp.com/best-etl-tools/,3.25,Community blog on a tutorial site,"""About us"" page mentions multiple people. Mulitple ""courses"" and ""tutorials"". ""JOIN Our Team!"" shows anybody can post. "
https://www.softwaretestinghelp.com/big-data-companies/,3,Community blog on a tutorial site,Same as above
https://www.softwaretestinghelp.com/big-data-tools/,3.4,Community blog on a tutorial site,Same as above
https://www.softwaretestinghelp.com/data-collection-tools/,2,Community blog on a tutorial site,Same as above
https://www.softwaretestinghelp.com/log-management-software/,3,Community blog on a tutorial site,Same as above
https://www.guru99.com/best-etl-tools.html,5,Community blog on a tutorial site,Multiple authors. Community blog on tutorial website. Many educational tutorials covering many topics. 
https://www.guru99.com/big-data-tools.html,3,Community blog on a tutorial site,Same as above.
https://www.guru99.com/data-integration-tools.html,3,Community blog on a tutorial site,Same as above.
https://www.guru99.com/microservices-tutorial.html,3,Community blog on a tutorial site,Same as above.
https://www.knowledgehut.com/blog/big-data/5-best-data-processing-frameworks,4,Community blog on Educational IT course provider site,"Multiple authors. Menu, about us section states ""KnowledgeHut is a leading training provider"" and ""explore in demand courses"". Mentions prices. "
https://www.knowledgehut.com/blog/big-data/kafka-vs-spark,3,Community blog on Educational IT course provider site,Same as above
https://www.springpeople.com/blog/4-message-brokers-you-need-to-know/,3,Community blog on Educational IT course provider site,"Click on logo, page states ""Learn from India's Biggest Enterprise IT Training Provider"". Pay for courses to be certified."
https://www.springpeople.com/blog/data-warehousing-essentials-what-is-etl-tool-what-are-its-benefits/,4,Community blog on Educational IT course provider site,Same as above
https://corporatefinanceinstitute.com/resources/knowledge/other/how-to-scrape-stock-data-with-python/,3,Educational IT course provider,"?About? page states ?CFI is a leading provider of online financial certification? programs, training, and workforce development?"
https://mindmajix.com/chatbot,2,Educational IT course provider,"menu saysy ""Course Categories"""
https://patterns.arcitura.com/service-api-patterns/fundamental-service-api-patterns/service-decomposition,2.714285714,Educational IT course provider,"Click on logo, page states ""A Commitment to Excellence in Vendor-Neutral IT Training + Certification"""
https://www.educative.io/blog/how-to-design-a-web-application-software-architecture-101,2.5,Educational IT course provider,"Slogan is ""Learn in-demand tech skills in half the time"". ""Pricing"" and ""products"" in menu list courses."
https://www.educba.com/activemq-vs-kafka/,4,Educational IT course provider,"Menu states ""free tutorials"", ""free courses"" and ""certification courses"" which customers pay for."
https://www.educba.com/activemq-vs-rabbitmq/,3.777777778,Educational IT course provider,Same as above
https://www.educba.com/apache-flume/,4,Educational IT course provider,Same as above
https://www.educba.com/apache-kafka-vs-flume/,3.833333333,Educational IT course provider,Same as above
https://www.educba.com/kafka-alternatives/,2.5,Educational IT course provider,Same as above
https://www.edureka.co/blog/apache-flume-tutorial/,3.5,Educational IT course provider,"Bottom of page mentions ""courses"" and ""training"" . ""write for us"" in menu, showing anybody can contribute.  Customers pay for courses. "
https://www.edureka.co/blog/microservice-architecture/,4,Educational IT course provider,Same as above
https://www.edureka.co/blog/microservices-design-patterns,3.857142857,Educational IT course provider,Same as above
https://www.edureka.co/community/83239/difference-between-synchronous-and-asynchronous-api-calls,2,Educational IT course provider,Same as above
https://www.janbasktraining.com/blog/what-is-flume/,4,Educational IT course provider,"Menu states ""select a course"". title states ""...training, learn and grow"". States prices for each course."
https://www.mastersindatascience.org/resources/open-source-tools-for-big-data-analysis/,2,Educational IT course provider,"""About"" page states ""2U builds, delivers, and supports hundreds of digital and in-person educational offerings, including degrees, professional certificates, Trilogy-powered boot camps, and GetSmarter short courses."""
https://www.whizlabs.com/blog/real-time-data-streaming-tools/,3,Educational IT course provider,"""About us"" states ""We are dedicated to helping you learn the skills you need to achieve your goals."". Offers pricing for courses on many IT related topics."
https://buff.ly/2x6OInL,3.833333333,Educational IT course provider,"?Home? title is ?Asia?s Largest Online Learning Platform?. ""Certification courses"" list prices."
https://hackr.io/blog/web-application-architecture-definition-models-types-and-more,4,Educational IT course provider,"About page states ""provide an unbiased platform for learners to discover the best sources to learn a new skill."". ""tutorials and courses"" mention prices"
https://platzi.com/blog/middlewares-laravel/,3,Educational IT course provider,"Spanish. Bottom of page states ""We transform the economy of our countries by training the next generation of technology professionals."".  Mentions prices."
http://www.srikanthtechnologies.com/blog/java/javaee7_jsonapi.aspx,3,Educational IT course provider,About page states ?Srikanth Technologies˜is a software training institute?. Offers courses for a price. 
https://blog.eduonix.com/web-programming-tutorials/learn-write-program-json-java/,1.5,Educational IT course provider,"""Courses"" in menu mentions prices"
http://blog.gulfsoft.com/2018/07/processing-json-in-automation-scripts.html,3,IT Service Company,Logo states Gulfsoft Consulting (picture not text)
http://chrisrichardson.net/post/microservices/2019/07/09/developing-sagas-part-1.html,3,IT Service Company,"Logo states Chris Richardson Consulting, Inc."
https://aiven.io/blog/benchmarking-kafka-write-throughput-performance-2019-update,4,IT Service Company,"Bottom of page, Company, About states ?We help organizations? to create ? ?applications? using the leading open source technologies?"
https://aiven.io/blog/how-are-your-microservices-talking,3.5,IT Service Company,Same as above
https://anarsolutions.com/top-8-architectural-principles-for-designing-modern-web-applications/,4,IT Service Company,"Top of page, about us states ?We partner with clients to create and support innovative ?solutions; that help businesses become a lasting success in the marketplace?"
https://antaresnet.com/data_collection/,2,IT Service Company,"Name is ?Technology solutions?. About, How To Hire Us, list of services includes ?Software IT Consulting"
https://apifriends.com/api-management/microservice-architecture-implementation/,2,IT Service Company,"Bottom of page states ""Consulting Services?"
https://artificialintelligence.oodles.io/blogs/machine-learning-with-apache-kafka/,3,IT Service Company,"?Technologies marketing studio?, ?(AI) development team?, ?Our AI services include a ?wide spectrum of machine learning and deep learning techniques to build industry- ?specific AI solutions for our diverse clientele.?"
https://blog.codecentric.de/2017/03/verteilte-stream-processing-frameworks-fuer-fast-data-big-data-ein-meer-moeglichkeiten/,4,IT Service Company,"German. About states ?navigating 520 customers as a trustworthy partner purposefully ?and pragmatically into a digital future, guided by trust, further training and quality.?"
https://blog.codecentric.de/en/2018/03/etl-kafka/,3,IT Service Company,Same as above
https://blog.codecentric.de/en/2018/08/easy-integration-between-services-with-apache-camel/,2.5,IT Service Company,Same as above
https://blog.miraclesoft.com/the-nine-components-that-make-up-a-conversational-chatbot/,3,IT Service Company,?About us?
https://blog.scottlogic.com/2018/04/17/comparing-big-data-messaging.html,3,IT Service Company,?What we do? states ?professional technologists and consultants?
https://blog.scottlogic.com/2018/07/06/comparing-streaming-frameworks-pt1.html,5,IT Service Company,Same as above
https://blog.vsoftconsulting.com/blog/understanding-the-architecture-of-conversational-chatbot,2,IT Service Company,Word ?consulting? is in url and is in the name of the company. 
https://chrisrichardson.net/post/refactoring/2020/08/21/ten-principles-for-refactoring-to-microservices.html,2,IT Service Company,Logo uses word ?consulting?
https://codingsans.com/blog/microservice-architecture-best-practices,2.5,IT Service Company,?Who we are? states ?We?re a full-stack web development agency?
https://datarespons.com/distributed-monitoring-control-using-dds/,2,IT Service Company,"""Serivces"" page states ""Data Respons delivers consultancy services, R&D development projects and experienced specialists"""
https://datasolut.com/streaming-daten/,4,IT Service Company,"German. About page states ?At datasolut, we use artificial intelligence to find the data ?that is important for marketing.? ?Googled ?datasolut? which stated ?Business management consultant?. "
https://dattell.com/data-architecture-blog/kafka-vs-rabbitmq-how-to-choose-an-open-source-message-broker/,3.666666667,IT Service Company,"Menu, about, ?guiding our clients through important decisions?"
https://eclipsesource.com/blogs/2013/04/18/minimal-json-parser-for-java/,4.333333333,IT Service Company,"Menu, about us states ?We provide a complete range of services including conception,? evaluation, training, support, consulting??"
https://freshcodeit.com/blog-introduction-to-message-brokers-part-1-apache-kafka-vs-rabbitmq,4.666666667,IT Service Company,"Menu, about us, main services mentions software-, mobile APP-, web application- development."
https://gigaom.com/report/key-criteria-for-evaluating-streaming-data-platforms/,3,IT Service Company,"Googled ?GigaOm? which stated ?Gigaom is a blog-related media company that˜offers news, ?analysis, and opinions on startups, emerging technologies, and other technology related topics.?"
https://headspring.com/2018/08/24/principles-for-microservices-integration/,4.5,IT Service Company,"""Who we are"" page states ""provider of enterprise software strategy and development"""
https://info.nl/en/conversation/the-importance-of-loose-coupling-in-microservice-architecture/,4,IT Service Company,"About page states ""We are INFO. Since 1994, we have been translating your business challenges into impactful digital products."""
https://inmation.com/company/tech-blog,2,IT Service Company,"About us page mentions ""Our consultants"" and ""Our experts can consult you"""
https://objectcomputing.com/resources/publications/mnb,2.333333333,IT Service Company,"""About"" states ""We are a modern consulting company that takes businesses from insights to outcomes using breakthrough technology."""
https://objectcomputing.com/resources/publications/mnb/using-erlang-with-corba-and-dds,2,IT Service Company,same as above
https://phoenixnap.com/kb/install-and-configure-rabbitmq-on-kubernetes,3,IT Service Company,"Title states ""global IT services"". "
https://redbyte.eu/en/blog/real-time-metrics-using-prometheus-and-grafana/,3,IT Service Company,"Menu contains ""Services"". ""About us"" gives steps of software development."
https://shadow-soft.com/middleware-software-tools/,2.666666667,IT Service Company,"""services"" in menu"
https://sites.google.com/a/mammatustech.com/mammatusmain/java-microservices-architecture,2,IT Service Company,"""about"""" states Mammatus Inc. is a training and consulting company"""
https://sloboda-studio.com/blog/how-to-use-nlp-for-building-a-chatbot/,4,IT Service Company,"Click on logo, page states ""Web & mobile development company with custom development and dedicated teams services."""
https://smartym.pro/blog/using-rabbitmq-in-chat-applications-and-messenger-application-architecture,3,IT Service Company,"Click on logo, page states ""Custom software development company"". ""Services"" in menu.˜"
https://softwaremill.com/kafka-real-time-data-analytics-business,3,IT Service Company,"""Services"" in menu bar"
https://softwaremill.com/mqperf,4.5,IT Service Company,"""Services"" in menu bar"
https://topflightapps.com/ideas/how-to-build-a-chatbot/,2,IT Service Company,"""Services"" and ""book a consultation"" in menu "
https://vironit.com/comparison-of-activemq-rabbitmq-and-zeromq-message-oriented-middleware/,4,IT Service Company,"""About us"" states ""provider of custom software development services (mobile apps, web-oriented solutions, business software)."""
https://www.algoworks.com/blog/real-time-data-streaming-tools-and-technologies/,2,IT Service Company,"Click on logo, page states ""Algoworks, a leading custom software development company,"""
https://www.altexsoft.com/blog/real-time-analytics/,3.5,IT Service Company,"Click on logo, page states ""... travel and hospitality technology consulting company"". "
https://www.capgemini.com/2017/06/integrating-the-chatbot/,5,IT Service Company,"""Services"" option at bottom of page. ""About us"" describes them as a ""strategic partner... draw on deep industry expertise"" "
https://www.chakray.com/decision-criteria-to-select-an-integration-middleware/,3,IT Service Company,"""About"" page states ""a group of 5 integration specialists"". and ""Get in touch to discover how Chakray can help your organisation become digitally agile"""
https://www.chakray.com/microservices-communication-methods-types-and-styles/,2.5,IT Service Company,same as above
https://www.clariontech.com/blog/5-best-technologies-to-build-microservices-architecture,2.5,IT Service Company,"Click on logo, page states ""HIRE TOP DEVELOPERS FROM INDIA & BUILD YOUR OFFSHORE TEAM
Delivery Model Tailored for your Business Needs"""
https://www.devteam.space/blog/10-best-practices-for-building-a-microservice-architecture/,2.333333333,IT Service Company,"About us page states ""DevTeam.Space is a vetted community of expert development teams"" and ""Hire Expert Developers with DevTeam.Space"""
https://www.devteam.space/blog/microservice-architecture-examples-and-diagram/,4,IT Service Company,same as above
https://www.dezyre.com/article/sqoop-vs-flume-battle-of-the-hadoop-etl-tools-/176,2,IT Service Company,"Click on logo, page states ""3,000+ developers from 17 countries solve real business problems in Fortune 1,000 companies using ProjectPro's end-to-end project templates."""
https://www.eckerson.com/articles/planning-your-data-architecture-for-streaming-analytics,2.5,IT Service Company,"Slogan is ""research, consulting, advisory"""
https://www.fasthosts.co.uk/blog/rabbitmq-and-message-brokers/,4,IT Service Company,"Click on logo, page states ""Cloud Servers"", ""Virtual Private Servers"" and ""Dedicated Servers"""
https://www.geospatialworld.net/article/real-time-data-collection-game-changer/,2,IT Service Company,"Slogan is ""GW CONSULTING // GW EVENTS // GW MEDIA"""
https://www.h2kinfosys.com/blog/apache-flume-tutorial/,3,IT Service Company,"""About"" pages states they ""offer career boosting Software Training worldwide."", ""provides IT services"" and ""We offer best, latest and state of the art Cloud Technology"""
https://www.innoq.com/de/blog/why-restful-communication-between-microservices-can-be-perfectly-fine/,3.25,IT Service Company,"Click on logo, page states ""Honest consulting"" and ""our services"""
https://www.intellectsoft.net/blog/web-application-architecture/,4,IT Service Company,"about under Company tab in menu, states ""We are a digital transformation consultancy and engineering company"""
https://www.n-ix.com/best-big-data-service-providers-worldwide/,5,IT Service Company,"""Services"" in menu. ""About us"" states ""N-iX on the list of Modern Application Development Services providers"""
https://www.openlogic.com/blog/activemq-vs-rabbitmq,5,IT Service Company,"""Services"" in menu. "
https://www.openlogic.com/blog/introduction-enterprise-integration-patterns-and-apache-camel,2,IT Service Company,same as above
https://www.oraylis.de/blog/kafka-und-flume-datenimport-im-grossen-stil,3,IT Service Company,"Menu states ""our solutions"" and lists services the company offers."
https://www.predictiveanalyticstoday.com/data-ingestion-tools/,3.428571429,IT Service Company,"""services"" in menu. bottom of page states ""PAT RESEARCH is a leading provider of software and services selection, with a host of resources and services."""
https://www.predictiveanalyticstoday.com/open-source-dashboard-software/,2,IT Service Company,Same as above
https://www.predictiveanalyticstoday.com/top-business-intelligence-tools/,2,IT Service Company,Same as above
https://www.predictiveanalyticstoday.com/top-free-extract-transform-load-etl-software/,3.5,IT Service Company,Same as above
https://www.predictiveanalyticstoday.com/top-open-source-commercial-stream-analytics-platforms/,2.666666667,IT Service Company,Same as above
https://www.predictiveanalyticstoday.com/what-is-etl-software-features/,4,IT Service Company,Same as above
https://www.royalcyber.com/blog/middleware/integrating-dell-boomi-with-rabbitmq/,3,IT Service Company,"Menu has ""services"" list."
https://www.scnsoft.com/blog/microservices-architecture-java-example,3,IT Service Company,"""About"" page states ""ScienceSoft is a provider of IT consulting and software development services."""
https://www.scrapehero.com/best-data-management-etl-tools/,3,IT Service Company,"""Services"" in menu. Click on logo, page states ""We provide web scraping services to the world's most favorite brands"""
https://www.scrapehero.com/scrape-nasdaq-stock-market-data/,2,IT Service Company,same as above
https://www.searchtechnologies.com/blog/big-data-open-source-log-analytics,5,IT Service Company,"""Services"" in menu."
https://www.softwebsolutions.com/resources/powerapps-integration-with-SAP.html,4,IT Service Company,"Menu contains a list of ""Services"""
https://www.thedigitaltransformationpeople.com/channels/enabling-technologies/real-time-stream-processing-in-big-data-platform/,3,IT Service Company,"""Advisory"" and ""consultancy"" in menu"
https://www.theseattledataguy.com/kafka-vs-rabbitmq-why-use-kafka/,4,IT Service Company,"Menu ""services"" page mentions multiple services offered."
https://www.tiempodev.com/blog/microservices/,4,IT Service Company,"About page states ""3Pillar Global is more than a digital product development and innovation company."""
https://www.tomitribe.com/blog/5-minutes-or-less-json-b-with-apache-johnzon/,3,IT Service Company,"Multiple authors. ""Services"" in menu. ""Company"" page states ""We provide jobs for developers, deliver support for consumers, educate people"""
https://www.toptal.com/apache/apache-camel-tutorial,3.5,IT Service Company,"Click on logo, page states ""Toptal is an exclusive network of the top freelance software developers"". "
https://www.toptal.com/api-developers/5-golden-rules-for-designing-a-great-web-api,3.5,IT Service Company,Same as above
https://www.unifiedinfotech.net/blog/web-application-architecture-principles-explained/,3,IT Service Company,"""services"" in menu"
https://www.woodardcurran.com/blog/the-benefits-of-using-mobile-technology-for-data-collection-and-reporting,3,IT Service Company,"""About"" states ""Woodard & Curran is more than just a consulting firm"""
https://www.xenonstack.com/insights/real-time-data-streaming/,3.5,IT Service Company,"""What we do"" lists many IT services."
https://www.xtivia.com/apache-camel-an-integration-framework/,3.666666667,IT Service Company,"""services"" in menu. Click on logo, page states ""Superior IT Solutions. Exceptional Technology Support"""
https://xebia.com/blog/microservices-architecture-principle-4-asynchronous-communication-over-synchronous-communication/,3,IT Service Company,"""about us"" states ""We are a pioneering IT consultancy company,"""
https://yalantis.com/blog/speed-up-json-encoding-decoding/,3.5,IT Service Company,"""services"" in menu. Click on logo, page states ""IT consulting company"""
https://zeekat.nl/articles/mvc-for-the-web.html,3,IT Service Company,"""Development Consulting"" in menu and ""We provide coaching services and hands-on development & devops work."""
http://cascadebusnews.com/advantages-disadvantages-using-mass-messaging-business/,2,Magazines and Newspapers,"Bottom of pages ""business newspaper... operated by Jeff Martin."". Multiple Authors. "
https://analyticsindiamag.com/top-7-data-streaming-tools-for-real-time-analytics/,2.666666667,Magazines and Newspapers,"Bottom of page, About us states ?Analytics India Magazine ?chronicles technological progress?"
https://analyticsindiamag.com/top-9-etl-tools-for-data-integration-in-2020/,3,Magazines and Newspapers,"Bottom of page, About us states ?Analytics India Magazine ?chronicles technological progress?"
https://entwickler.de/online/development/design-pattern-microservices-579805880.html,3,Magazines and Newspapers,"Click on logo, states ""magazines, e-books and archives"""
https://jaxenter.de/apache-kafka-cassandra-flink-interview-brebner-88355,3,Magazines and Newspapers,"URL that opens is ""https://entwickler.de/microservices/was-sind-eigentlich-microservices/"" which is a magazine website, however the original post was from ""https://jaxenter.com/"" which is a community blog"
https://jaxenter.de/jsoniter-51579,2.666666667,Magazines and Newspapers,Same as above
https://jaxenter.de/was-sind-microservices-40571,2,Magazines and Newspapers,Same as above
https://www.analyticsinsight.net/top-10-steam-analytics-software-platforms-driving-data-integration/,4,Magazines and Newspapers,"Errors loading page. ""About us"" states ""We are the world?s First Print and Digital Publication""."
https://www.com-magazin.de/praxis/business-it/echtzeit-analyse-dank-data-stream-processing-1667275.html?page=4_streaming-loesungen,2,Magazines and Newspapers,"URL has ""magazin"" in it."
https://www.computerweekly.com/news/4500244917/Gartner-Enterprises-opt-for-Open-source-and-cloud-middleware-alternatives,2,Magazines and Newspapers,"""About us"" page states ""Computer Weekly provides the latest news and analysis through its website and 200,000-subscriber weekly digital magazine"""
"https://www.computerwoche.de/a/apache-loesungen-zum-data-streaming,3546006",3,Magazines and Newspapers,"Googled ""Computerwoche"" which stated ""Computerwoche is an online publication for IT managers and business decision makers"""
https://www.internetworld.de/data-analytics/microservices/microservices-shops-aus-bausteinen-1146827.html,2,Magazines and Newspapers,"Offers newsletters and magazines. ""Subscription"" in menu states prices."
https://www.opensourceforu.com/2015/12/an-introduction-to-apache-activemq/,3,Magazines and Newspapers,"Bottom of page states ""Open Source For You is Asia's leading IT publication ... the magazine ..."". Menu states ""Subscribe to Print Edition"" which mentions pricing, and ""Write For Us"". "
https://www.prnewswire.com/news-releases/global-open-source-streaming-microservices-and-middleware-messaging-market-2019-2025-5g-processes-api-components-to-support-technology-innovation-and-change-300883993.html,2,Magazines and Newspapers,Multiple topics. Multiple authors. News related. 
https://www.smashingmagazine.com/2019/01/introducing-component-based-api/,2,Magazines and Newspapers,"Multiple authors. ""membership"" in menu mentions prices. ""magazine"" in title. ""Write for us"" button shows community can contribute. ""About"" page states ""Before an article is published, it?s reviewed by independent reviewers"""
http://rubyamqp.info/articles/patterns_and_use_cases.html,4,IT Service Company,Not a blog
https://publicwork.wordpress.com/2018/06/27/kafka-vs-rabbitmq-vs-enduro-x-vs-activemq-on-go-benchmark-of-the-2018/,2,Personal,No author information.
https://www.codeflow.site/de/article/hadoop-storm-samza-spark-and-flink-big-data-frameworks-compared,4,Personal,German. No authors mentioned. Can't be considered personal or community. 
https://www.codeflow.site/de/article/java-org-json,4,Personal,Same as above
https://www.dnsstuff.com/log-monitoring-tools,3,IT Service Company,"Articles just say ""by Staff Contributor"". No about page. "
https://www.javainuse.com/camel/camel_rabbit,2.666666667,Community blog,"Home page uses word ""us"", however that may be a formality. No authors mentioned. All articles are technology related. "
https://www.techgeeknext.com/apache/kafka-interview-questions,3,Community blog,No authors mention. Multiple topics realted to IT.
https://www.tek-tools.com/apm/best-log-aggregator-tools,4,IT Service Company,No authors mentioned. Multiple topics. Unsure if it is personal or community. 
https://xyu.io/2015/07/13/building-a-faster-etl-pipeline-with-flume-kafka-and-hive/,4,Personal,No authors mentioned. Multiple topics. 
https://bigdataanalyticsnews.com/3-useful-tools-big-data-log-analysis/,2.666666667,Magazines and Newspapers,"No author info. About page states ""A˜niche place for information about Big Data. The site consists information ?on business trends, big data use cases,??"
http://www.columbia.edu/~tmd2142/best-6-stock-market-apis-for-2020.html,4,University blog,?columbia.edu' in URL
http://www.waynecliffordbarker.co.za/functional-decomposition-for-microservices/,4,Personal,?There has been a critical error on this website.?
https://craigmckenna.com/build-a-simple-chat-application-with-rabbitmq-on-node-js.html,2.666666667,Personal,Connection not private.
https://gedoplan.de/apache-camel/,4,Educational IT course provider,German. 404 error.
https://somospnt.com/blog/94-introduccion-a-apache-camel-fundamentos-y-arquitectura-2,4,IT Service Company,Spanish page. Unable to translate.
https://stayrelevant.globant.com/en/kafka-a-high-throughput-message-broker/,5,IT Service Company,404 error.
https://www.scalyr.com/blog/microservices-in-java-practical-examples/,2.5,Technology vendor,502 error
http://ane.github.io/2017/03/08/camel-abstractions.html,3.5,Personal,"Home tab uses the words ""I"" and ""my""."
http://arthur.gonigberg.com/2012/02/11/camel-rabbitmq/,3,Personal,"Bottom of page uses the word ""I'm""."
http://biyatpragyanmohanty.com/article/2/Enterprise-Integration-with-Apache-Camel-Rabbit-MQ-and-Spring-Boot,3.25,Personal,Right side of page states ? Hello! I am Biyat. I develop software within ?Cloud and Big Data ecosystem.?
http://blog.florian-hopf.de/2019/07/apache-camel.html,3.25,Personal,"Title is ""Software Developer living in Singapore"""
http://blog.wenzlaff.de/?p=7222,3,Personal,"Privacy Notice uses the words ""my website"" and ""my services"""
http://pragmaticnotes.com/tag/kafka-messaging-systems-comparison/,2,Personal,"About page uses the word ""I""."
http://ravindranaik.com/which-messaging-queue-is-best/,5,Personal,Title is name of author. All posts are written by same person.
http://rick-hightower.blogspot.com/2013/11/benchmark-for-json-parsing-boon-scores.html,5,Personal,"About me uses the word ""my""."
http://rick-hightower.blogspot.com/2013/12/worlds-fastest-json-parser.html,3.6,Personal,"Website Blogspot means Personal blog. Uses word ""I""."
http://tutorials.jenkov.com/java-json/gson-jsonparser.html,3.529411765,Personal,About URL invalid. Googled ?Jenkov Aps? which stated ?Historically Jenkov Aps ?was primarily a software consulting company?
http://www.ofbizian.com/2016/01/performance-tuning-ideas-for-apache.html,3.5,Personal,"""About me"" in menu"
https://alexanderdevelopment.net/post/2015/01/12/using-rabbitmq-as-a-message-broker-in-dynamics-crm-data-interfaces-part-1/,4,Personal,"Bottom of page, About, About me states ?This is my personal blog? "
https://alexanderdevelopment.net/post/2015/01/20/using-rabbitmq-as-a-message-broker-in-dynamics-crm-data-interfaces-part-3/,4,Personal,Same as above
https://alvinalexander.com/java/jwarehouse/gson/README.md.shtml ,5,Personal,Title is name of author.
https://amihaiemil.com/2017/10/16/javaee8-jsoncollectors-oop-alternative.html,2,Personal,"About, About me states ?My name is.. I am a Java developer? "
https://andrejgajdos.com/first-steps-with-messaging-in-java/,2.5,Personal,"About uses the word ""my""."
https://automationrhapsody.com/unmarshalconvert-json-data-jaxbelement-object/,4,Personal,All articles by same author.
https://awsfeed.com/whats-new/big-data/top-10-real-time-data-streaming-tools,4,Personal,All articles by same author. All articles relate to AWS or amazon. 
https://blog.feathersjs.com/design-patterns-for-modern-web-apis-1f046635215,4,Personal,Right side of page uses the word ?I?.
https://blog.novoj.net/posts/2012-02-05-json-java-parsers-generators-microbenchmark/,4,Personal,Czech. ?About Author?
https://blog.stefan-koch.name/2020/06/13/monitoring-stock-prices-with-grafana-and-prometheus,4,Personal,Bottom of page uses the word ?I?.
https://blog.todotnet.com/2017/07/design-patterns-for-microservices/,2,Personal,"?About me"" links to LinkedIn page."
https://bravenewgeek.com/benchmarking-message-queue-latency/,4.333333333,Personal,?About me? uses personal pronouns ?me? and ?I?
https://bravenewgeek.com/tag/activemq/,5,Personal,Same as above
https://bravenewgeek.com/tag/rabbitmq/,4.5,Personal,Same as above
https://crunchify.com/how-to-read-json-object-from-file-in-java/,3,Personal,All articles by same author.
https://danidee10.github.io/2018/01/13/realtime-django-5.html,4,Personal,"""About"" page uses words ""I"" and ""me"""
https://danielpocock.com/real-time-streaming-market-data-with-free-open-source-software/,3,Personal,About page describes a persons professional experience and their name.
https://dave.cheney.net/high-performance-json.html,3.5,Personal,Name of author is the name of the website/blog in url
https://devqa.io/how-to-parse-json-in-java/,3.7,Personal,"Bottom of page ""About"" states ?Hi I am??"
https://devqa.io/parse-json-response-rest-assured/,4,Personal,Same as above
https://dghanwat.github.io/posts/2018/12/chatbot-with-nodejs-express-rabbitmq-part-1/,3,Personal,"Home, About me, uses words ?I? and ?me?"
https://herbertograca.com/2017/01/26/microservices-architecture/,3,Personal,"About page uses words ""I"" and ""my""."
https://highcohesionloosecoupling.com/index.php/tag/microservices/,2,Personal,"About me uses the word ""Me"" and ""I"". "
https://howtodoinjava.com/jaxb/convert-object-to-json-moxy/,4,Personal,"""About me"" page. ""Java"" in title. all posts relate to java."
https://itsallbinary.com/jackson-vs-gson-vs-json-b-vs-json-p-vs-org-json-vs-jsonpath-java-json-libraries-features-comparison/,3,Personal,Same as above.
https://jack-vanlightly.com/blog/2017/12/4/rabbitmq-vs-kafka-part-1-messaging-topologies,4,Personal,"Name of website is a person's name. About me uses the word ""me""."
https://jack-vanlightly.com/blog/2017/12/5/rabbitmq-vs-kafka-part-2-rabbitmq-messaging-patterns-and-topologies,4,Personal,Same as above
https://lemire.me/blog/2018/05/03/how-fast-can-you-parse-json/,2.833333333,Personal,Name of website is a person's name. Paragraph below title describes someones professional experience.
